LST Name,Type,Units,Settings Name,LSM metadata name,p1,Requirement for List load,Description,Default values,Data Type
Label,microscope,,label,"(“ScanInformation”, “Name)",ex_name,all,Measurement label as recorded by Till Vision,not set yet,str
Measu,microscope,,measu,,messungszahl,all,Measurement index as recoreded by Till Vision,-1,int
Analyze,analysis,,analyze,,analyze,all,"boolean flag, manually editable, that indicates whether or not the measurement is to be included in analysis",-1,int
Odour,stimulus,,odorants,,odor,,Odorant (no comma) or list of odorants that are part of the stimulus (comma separated),not set yet,str
excludeChunk,stimulus,,excludeChunk,,excludeChunk,,Odorant (no comma) or list of odorants that should be excluded (comma separated),not set yet,str
Stimulus,stimulus,,stim,,stimulus,,single name for stimulus applied (single odorant name or mix name),not set yet,str
OConc,stimulus,,conc,,odor_nr,,,10000,int
DBB1,paths,,dbb,,dbb1,all,path of first raw recording file relative to the data folder,not set yet,str
DBB_Folder,paths,,dbb_folder,,dbb_folder,,folders relative to the data folder in which the file(s) of DBB1 are located,not set yet,str
Lambda,microscope,nm,Lambda,"(“IlluminationChannels”, “Wavelength”)",lambda_nm,all,Monochromator wavelength,0,str
StimON,stimulus,,stim_on,,,,onset in frames for first odorant (no comma) or multiple odorants (comma separated),"-1",str
StimONms,stimulus,,stim_on_ms,,,,onset in ms for first odorant (no comma) or multiple odorants (comma separated),"-1",str
StimOFF,stimulus,,stim_off,,,,offset in frames for first odorant (no comma) or multiple odorants (comma separated),"-1",str
StimLen,stimulus,,stim_len,,,,length in ms for first odorant (no comma) or multiple odorants (comma separated),"0",str
Stim2ON,stimulus,,stim2on,,,,onset in frames for second odorant (used only when timings of one odorant has been given above),0,int
Stim2ONms,stimulus,,stim2on_ms,,,,onset in ms for second odorant (used only when timings of one odorant has been given above),-1,int
Stim2OFF,stimulus,,stim2off,,,,offset in frames for second odorant (used only when timings of one odorant has been given above),0,int
Stim2Len,stimulus,,stim2Len,,,,length in ms for second odorant (used only when timings of one odorant has been given above),0,int
Cycle,recording,ms,GDMfreq,"(“TimeIntervall”,)",trial_ticks,all,Sampling Period of the Ca imaging video data for the measurement (1000/Sampling frequency),200,float
SampFreq,recording,Hz,SampFreq,,frequency,,Sampling frequency of measurement,5,float
MTime,,,mtime,,m_time,,"time since first evidence that the animal is under the microscope, formatted as “HH:MM:SS.ssss”",“-00:00:00”,str
Control,,,control,,kontrollmessung,,'Measu’ of the control measurement,0,float
Pharma,treatment,,pharma,,treatment,,Pharmacological treatment applied,not set yet,str
PhTime,treatment,,pharma_time,,pharma_time,,,0,str
PhConc,treatment,,pharma_conc,,treat_conc,,Concentration of pharmacological treatment applied,0,str
Comment,,,comment,,remark,,Arbitrary comment (most often contains information about the script used to generate measurement list),not set yet,str
ShiftX,,,shiftx,,shiftX,,,0,float
ShiftY,,,shifty,,shiftY,,,0,float
StimISI,stimulus,,stim_isi,,stimulus_ISI,,,0,float
setting,,,setting,,viewlabel,,,not set yet,str
dbb2,paths,,dbb2,,dbb2,4,path of second raw recording file relative to the data folder,not set yet,str
dbb3,paths,,dbb3,,dbb3,0,path of third raw recording file relative to the data folder,not set yet,str
PxSzX,microscope,um,PxSzX,"(“VoxelSizeX”,)",pixelsizex,,Image resolution of Ca imaging video data along the X axis,0,float
PxSzY,microscope,um,PxSzY,"(“VoxelSizeY”,)",pixelsizey,,Image resolution of Ca imaging video data along the Y axis,0,float
PosZ,microscope,um,position_z,,posz,,depth of Z plane??,0,float
Countl,,,countl,,,,,0,str
slvFlip,,,slvflip,,,,,0,int
Age,animal,days,age,,agetxt,,age of the subject animal in days(exact number or a range. e.g 2-4),-1,str
Sex,animal,,sex,,sex,,Sex of the subject animal,not set yet,str
Side,animal,,side,,bodyside,,Body side of the subject animal where measurements were made,not set yet,str
UTC,recording,,UTC,"('Sample0time',)",utc,,Posix time stamp of measurement start,0,int
FrameSizeX,microscope,pixels,FrameSizeX,,format_x,,Number of pixel in acquisition frame along X,0,int
FrameSizeY,microscope,pixels,FrameSizeY,,format_y,,Number of pixel in acquisition frame along Y,0,int
NumFrames,recording,,Nframes,,frames,,Number of frames measured,0,int
