Flag Name,Flag Subgroup,Flag Description,Selectable Options,Flag Value Type,Flag Default Value,Flag Checks,Error Message
Data_Median_Filter,Filters,integer indicating the way in which the raw data should be filtered with a rolling window MEDIAN filter. Used in view/python_core/p1_class/filters.py,"0: no filter
1: filter in space with size 3, no time filter
2: filter in time with size 3, no space filter
3: filter in space and time, using flag values (Data_Median_Filter_space)(Data_Median_Filter_time)",int,0,"{flag} in (0, 1, 2, 3)","Invalid value {flag} for {flag_name}, valid values are:\n0 (no median filtering)\n1 (median filtering only in space, with fixed window size)\n2 (median filtering only in time, with fixed window size)\n3 (median filtering in both space and time, with window sizes specified in the flags “Data_Median_Filter_space” and “Data_Median_Filter_time” respectively)"
Data_Median_Filter_space,Filters,integer indicating width of the median filter used for filtering values over SPACE. Only used if Data_Median_Filter is set to 3.,,int,3,0 <= {flag} <= 3,"Invalid value {flag} for {flag_name}, valid values are 0, 1, 2 and 3"
Data_Median_Filter_time,Filters,integer indicating width of the median filter used for filtering values over TIME. Only used if Data_Median_Filter is set to 3.,,int,3,0 <= {flag} <= 3,"Invalid value {flag} for {flag_name}, valid values are 0, 1, 2 and 3"
Data_Mean_Filter,Filters,integer indicating whether the raw data should be filtered with a rolling window MEAN filter. Used in view/python_core/p1_class/filters.py,"0: no filter
1: filter in space with size 3, no time filter
2: filter in time with size 3, no space filter
3: filter in space and time, using flag values (Data_Mean_Filter_space)(Data_Mean_Filter_time)",int,0,"{flag} in (0, 1, 2, 3)","Invalid value {flag} for {flag_name}, valid values are:\n0 (no median filtering)\n1 (median filtering only in space, with fixed window size)\n2 (median filtering only in time, with fixed window size)\n3 (median filtering in both space and time, with window sizes specified in the flags “Data_Median_Filter_space” and “Data_Median_Filter_time” respectively)"
Data_Mean_Filter_space,Filters,integer indicating width of the mean filter used for filtering values over SPACE. Only used if Data_Mean_Filter is set to 3.,,int,3,{flag} >= 0,"Invalid value {flag} for {flag_name}, only non-negative integers are valid."
Data_Mean_Filter_time,Filters,integer indicating width of the mean filter used for filtering values over TIME. Only used if Data_Mean_Filter is set to 3.,,int,3,{flag} >= 0,"Invalid value {flag} for {flag_name}, only non-negative integers are valid."
Data_ReplaceInitFrames,Filters,"integer, when it is 2, the first two frames are replaced by the third right after reading data from file",,int,0,{flag} >= 0,{flag_name} must be a non-negative integer
LE_BleachCorrMethod,Filters,indicates the method for correcting bleaching artifacts.,"None: bleaching artifacts are not corrected
log_uniform: fluorescence relative to background is assumed to follow the same exponential function for all pixels.
log_pixelwise_1cpu: fluorescence relative to background is assumed to follow different exponential functions for different pixels. Correction is done using only one CPU core
log_pixelwise_parallel: the same as log_pixelwise_1cpu, except correction is done in parallel using all CPU cores (currently fails with an error on Windows, works on Linux/Mac)",str,None,,
LE_BleachCutBorder,Filters,indicates the percentage of pixels to exclude along the border when not using AREA file,,float,20,,
LE_BleachExcludeArea,Filters,"if True, function fitting for bleach correction will exclude pixels outside AREA mask, if an appropriate AREA file is found",,bool,True,,
